index,lang,count,size (Gb),Arjun's comments,Include,Size
263,raml,13598,0.048217182,,,0
264,rdoc,10940,0.031951045,,,0
265,realbasic,871,0.010335615,,,0
266,rebol,1495,0.006508232,Is this dead?,,0
267,red,3611,0.039918747,,,0
268,redcode,513,0.002673693,,,0
269,ren'py,4898,0.11411255,,,0
270,renderscript,995,0.002270658,,,0
271,restructuredtext,1122999,4.281577848,Harm points out to include,1,4.281577848
272,rhtml,7469,0.009793544,Is this R?,,0
273,rmarkdown,5831,0.061474482,"Include, this is R",1,0.061474482
274,robotframework,14924,0.063781898,,,0
275,rouge,1542,0.004224455,,,0
276,ruby,4463248,9.781043003,Obvious,1,9.781043003
277,rust,1677940,12.91866254,Obvious,1,12.91866254
278,sage,1930,0.014832049,,,0
279,saltstack,31203,0.042226819,,,0
280,sas,10755,0.160669991,"Carolyn: include, this is a stats scripting language",1,0.160669991
281,sass,108862,0.196029291,,,0
282,scala,1607698,6.061807569,Obvious,1,6.061807569
283,scaml,114,0.000120361,,,0
284,scheme,64961,0.597677147,Include: Lisp derivative,1,0.597677147
285,scilab,3129,0.011411926,,,0
286,scss,2449305,5.284018372,,,0
287,self,85,0.000509786,Inspiration for JavaScript. No more of this on the web?,1,0.000509786
288,shell,2540313,4.066701981,Obvious,1,4.066701981
289,shellsession,10,1.58E-05,,,0
290,shen,306,0.001125251,,,0
291,slash,9274,0.035859409,,,0
292,slim,52114,0.059704412,,,0
293,smali,288385,3.211701155,,,0
294,smalltalk,652835,0.762851187,Probably include. Still some people using this I believe,1,0.762851187
295,smarty,167634,0.56143135,,,0
296,smt,26696,0.404797122,Undecided. Lispy. These are likely generated files.,,0
297,solidity,216020,1.696340017,Include: smart contracts,1,1.696340017
298,sourcepawn,7288,0.130712384,,,0
299,sparql,16585,0.045287982,"Include: Spark, etc.",1,0.045287982
300,sqf,39747,0.140966975,,,0
301,sql,1066540,12.67551878,Obvious,1,12.67551878
302,squirrel,6385,0.038697967,,,0
303,stan,6556,0.015036825,Include: PPL,1,0.015036825
304,standard-ml,52443,0.538388205,Include: FP,1,0.538388205
305,stata,34926,0.418126748,"Carolyn: stata is an important data analysis lang. but we want only the .do files, not the .dta files",1,0.418126748
306,ston,1720,0.001329725,,,0
307,stylus,88412,0.157867404,,,0
308,supercollider,2761,0.01793768,,,0
309,svg,3816962,79.85220843,Undecided. Same category as XML,,0
310,swift,2063629,7.305693131,Obvious,1,7.305693131
311,systemverilog,56261,0.498070786,Include: HDL,1,0.498070786
312,tcl,63362,0.511421635,Include: 90s scripting language; still widely used,1,0.511421635
313,tcsh,6313,0.027505715,Include: shell scripts,1,0.027505715
314,tea,1086,0.043406292,,,0
315,tex,593741,5.863253431,Include: help me write my papers,1,5.863253431
316,text,17241649,233.4156933,what,,0
317,textile,8550,0.036826583,,,0
318,thrift,6008,0.019724138,Include: Facebook engineers want this,1,0.019724138
319,toml,603802,0.682639067,Undecided. Likely just data,,0
320,turing,281,0.003482555,,,0
321,turtle,167790,2.961368586,https://www.w3.org/TR/turtle/ Data. Ignore?,,0
322,twig,445738,1.318711043,,,0
323,txl,149,0.002262777,,,0
324,typescript,12817789,36.60518411,Obvious,1,36.60518411
325,unified-parallel-c,204,0.001573707,,,0
326,unity3d-asset,5283462,9.059069948,,,0
327,uno,4380,0.011293002,,,0
328,unrealscript,11238,0.070370664,,,0
329,urweb,1181,0.007658499,"Undecided. This is probably Adam Chlipala's language, but double-check",,0
330,vala,4830,0.024860858,,,0
331,vcl,1325,0.005250865,,,0
332,verilog,169,0.000955152,Include: HDL,1,0.000955152
333,vhdl,73888,1.457399755,Include: HDL,1,1.457399755
334,viml,110500,0.404044383,Include: VIM configurations,1,0.404044383
335,visual-basic,193066,1.709779092,Obvious,1,1.709779092
336,volt,4226,0.014539185,,,0
337,vue,1938940,8.574533644,.vue -- these have a significant HTML component,,0
338,web-ontology-language,13385,1.07383534,,,0
339,webassembly,8113,0.214897947,Undecided. Mostly generated code,,0
340,webidl,2622,0.005019794,,,0
341,wisp,130,0.00064634,,,0
342,x10,406,0.001619354,"Exclude: this project is done, right?",,0
343,xbase,7993,0.066203089,,,0
344,xc,585,0.004971472,,,0
345,xml,12683687,149.8550762,Data,,0
346,xojo,2940,0.032677002,,,0
347,xpages,315,0.002216953,,,0
348,xproc,1297,0.006994676,,,0
349,xquery,25933,0.046211199,,,0
350,xs,2025,0.03171586,,,0
351,xslt,57501,0.715532013,Include: XSLT is an XML transformation language; these are likely hand-written. XSLT is also a huge PITA to write by hand,1,0.715532013
352,xtend,11916,0.052799695,,,0
353,yacc,78972,0.557021816,Include: parser generator,1,0.557021816
354,yaml,7675977,40.82317001,Data,,0
355,yang,13539,0.216720152,,,0
356,zephir,3184,0.012502994,,,0
357,zig,19483,0.249499308,Include: up and coming language in the same space as Rust,1,0.249499308
358,zimpl,314,0.00236159,,,0
,,,,,92,842.6753674
